Name,Time-FD,Corr-FD,Opt-FD,Sys-FD,Planner-FD
BW-rand-10__0,60004.97508049011,0.0,-1.0,-1,-1
BW-rand-10__1,30469.97857093811,1.0,0.0,2,1
BW-rand-10__10,15213.94681930542,1.0,0.0,2,1
BW-rand-10__11,60004.89974021912,0.0,-1.0,-1,-1
BW-rand-10__12,60004.85348701477,0.0,-1.0,-1,-1
BW-rand-10__13,60004.66966629028,0.0,-1.0,-1,-1
BW-rand-10__14,60004.63938713074,0.0,-1.0,-1,-1
BW-rand-10__15,17106.940507888794,1.0,0.0,2,1
BW-rand-10__16,60004.70662117005,0.0,-1.0,-1,-1
BW-rand-10__17,60005.06114959717,0.0,-1.0,-1,-1
BW-rand-10__18,59172.067403793335,1.0,0.0,2,1
BW-rand-10__19,8105.019330978394,1.0,0.0,2,1
BW-rand-10__2,6759.349822998047,1.0,0.0,2,1
BW-rand-10__20,15157.824039459229,1.0,0.0,2,1
BW-rand-10__21,9427.998781204224,1.0,0.0,2,1
BW-rand-10__22,60004.76002693176,0.0,-1.0,-1,-1
BW-rand-10__23,60004.71639633179,0.0,-1.0,-1,-1
BW-rand-10__24,60004.76360321045,0.0,-1.0,-1,-1
BW-rand-10__25,40921.78392410278,1.0,0.0,2,1
BW-rand-10__26,30833.55689048767,1.0,0.0,2,1
BW-rand-10__27,32861.45782470703,1.0,0.0,2,1
BW-rand-10__28,60004.89139556885,0.0,-1.0,-1,-1
BW-rand-10__29,51567.328214645386,1.0,0.0,2,1
BW-rand-10__3,60004.89068031311,0.0,-1.0,-1,-1
BW-rand-10__30,5959.855794906616,1.0,0.0,2,1
BW-rand-10__31,60004.83822822571,0.0,-1.0,-1,-1
BW-rand-10__32,34208.06050300598,1.0,0.0,2,1
BW-rand-10__33,60004.884004592896,0.0,-1.0,-1,-1
BW-rand-10__34,3319.0338611602783,1.0,0.0,2,1
BW-rand-10__35,3285.5496406555176,1.0,0.0,2,1
BW-rand-10__36,43309.24987792969,1.0,0.0,2,1
BW-rand-10__37,25739.404439926147,1.0,0.0,2,1
BW-rand-10__38,60004.66513633728,0.0,-1.0,-1,-1
BW-rand-10__39,39281.61644935608,1.0,0.0,2,1
BW-rand-10__4,33547.9691028595,1.0,0.0,2,1
BW-rand-10__40,9473.03318977356,1.0,0.0,2,1
BW-rand-10__41,60004.7345161438,0.0,-1.0,-1,-1
BW-rand-10__42,4123.207807540894,1.0,0.0,2,1
BW-rand-10__43,60004.66775894165,0.0,-1.0,-1,-1
BW-rand-10__44,60004.75573539734,0.0,-1.0,-1,-1
BW-rand-10__45,41499.67980384827,1.0,0.0,2,1
BW-rand-10__46,60004.81128692627,0.0,-1.0,-1,-1
BW-rand-10__47,60004.86183166504,0.0,-1.0,-1,-1
BW-rand-10__48,60004.72354888916,0.0,-1.0,-1,-1
BW-rand-10__49,11569.242477416992,1.0,0.0,2,1
BW-rand-10__5,25258.26644897461,1.0,0.0,2,1
BW-rand-10__50,34086.49826049805,1.0,0.0,2,1
BW-rand-10__51,60004.56380844116,0.0,-1.0,-1,-1
BW-rand-10__52,2075.718641281128,1.0,0.0,2,1
BW-rand-10__53,60004.67085838318,0.0,-1.0,-1,-1
BW-rand-10__54,60004.84299659729,0.0,-1.0,-1,-1
BW-rand-10__55,60004.7459602356,0.0,-1.0,-1,-1
BW-rand-10__56,60004.714488983154,0.0,-1.0,-1,-1
BW-rand-10__57,11259.248733520508,1.0,0.0,2,1
BW-rand-10__58,13886.93070411682,1.0,0.0,2,1
BW-rand-10__59,36025.558948516846,1.0,0.0,2,1
BW-rand-10__6,29463.394165039062,1.0,0.0,2,1
BW-rand-10__60,29619.76385116577,1.0,0.0,2,1
BW-rand-10__61,24084.16557312012,1.0,0.0,2,1
BW-rand-10__62,60004.68754768372,0.0,-1.0,-1,-1
BW-rand-10__63,60004.84275817871,0.0,-1.0,-1,-1
BW-rand-10__64,54285.55154800415,1.0,0.0,2,1
BW-rand-10__65,5489.495754241943,1.0,0.0,2,1
BW-rand-10__66,45670.32599449158,1.0,0.0,2,1
BW-rand-10__67,60004.56142425537,0.0,-1.0,-1,-1
BW-rand-10__68,60004.81772422791,0.0,-1.0,-1,-1
BW-rand-10__69,60004.70662117005,0.0,-1.0,-1,-1
BW-rand-10__7,60005.08189201355,0.0,-1.0,-1,-1
BW-rand-10__70,60004.64606285095,0.0,-1.0,-1,-1
BW-rand-10__71,60004.85873222351,0.0,-1.0,-1,-1
BW-rand-10__72,25092.081785202023,1.0,0.0,2,1
BW-rand-10__73,23946.79999351501,1.0,0.0,2,1
BW-rand-10__74,140.20133018493652,1.0,0.0,2,1
BW-rand-10__75,45022.26710319519,1.0,0.0,2,1
BW-rand-10__76,41134.18984413147,1.0,0.0,2,1
BW-rand-10__77,60004.66084480286,0.0,-1.0,-1,-1
BW-rand-10__78,19018.413305282596,1.0,0.0,2,1
BW-rand-10__8,24689.323663711548,1.0,0.0,2,1
BW-rand-10__9,19701.65634155273,1.0,0.0,2,1
BW-rand-11__0,60004.8394203186,0.0,-1.0,-1,-1
BW-rand-11__1,60004.74572181702,0.0,-1.0,-1,-1
BW-rand-11__10,60004.87399101257,0.0,-1.0,-1,-1
BW-rand-11__11,60004.83012199402,0.0,-1.0,-1,-1
BW-rand-11__12,60004.69446182251,0.0,-1.0,-1,-1
BW-rand-11__13,60004.615783691406,0.0,-1.0,-1,-1
BW-rand-11__14,23959.98525619507,1.0,0.0,2,1
BW-rand-11__15,60004.844188690186,0.0,-1.0,-1,-1
BW-rand-11__16,22476.909399032596,1.0,0.0,2,1
BW-rand-11__17,26039.73340988159,1.0,0.0,2,1
BW-rand-11__18,3926.755428314209,1.0,0.0,2,1
BW-rand-11__19,6951.759099960327,1.0,0.0,2,1
BW-rand-11__2,60004.94050979614,0.0,-1.0,-1,-1
BW-rand-11__20,60004.74715232849,0.0,-1.0,-1,-1
BW-rand-11__3,60004.68301773071,0.0,-1.0,-1,-1
BW-rand-11__4,41970.38412094116,1.0,0.0,2,1
BW-rand-11__5,60004.86564636231,0.0,-1.0,-1,-1
BW-rand-11__6,58215.962409973145,1.0,0.0,2,1
BW-rand-11__7,60004.86063957214,0.0,-1.0,-1,-1
BW-rand-11__8,60004.99176979065,0.0,-1.0,-1,-1
BW-rand-11__9,60004.70328330994,0.0,-1.0,-1,-1
ferry-l4-c3__0,53.435325622558594,1.0,0.0,2,1
ferry-l4-c3__1,53.17091941833496,1.0,0.0,2,1
ferry-l4-c3__2,52.2153377532959,1.0,0.0,2,1
ferry-l4-c3__3,53.469181060791016,1.0,0.0,2,1
ferry-l4-c3__4,51.86653137207031,1.0,0.0,2,1
ferry-l4-c3__5,52.032470703125,1.0,0.0,2,1
ferry-l4-c3__6,52.59919166564941,1.0,0.0,2,1
ferry-l4-c3__7,50.043582916259766,1.0,0.0,2,1
ferry-l4-c3__8,52.945852279663086,1.0,0.0,2,1
ferry-l4-c3__9,53.01904678344727,1.0,0.0,2,1
ferry-l4-c4__0,52.445411682128906,1.0,0.0,2,1
ferry-l4-c4__1,53.62915992736816,1.0,0.0,2,1
ferry-l4-c4__2,49.79729652404785,1.0,0.0,2,1
ferry-l4-c4__3,51.88322067260742,1.0,0.0,2,1
ferry-l4-c4__4,54.39472198486328,1.0,0.0,2,1
ferry-l4-c4__5,56.86426162719727,1.0,0.0,2,1
ferry-l4-c4__6,52.145957946777344,1.0,0.0,2,1
ferry-l4-c4__7,53.89046669006348,1.0,0.0,2,1
ferry-l4-c4__8,53.38835716247559,1.0,0.0,2,1
ferry-l4-c5__0,62.1483325958252,1.0,0.0,2,1
ferry-l4-c5__1,59.76486206054688,1.0,0.0,2,1
ferry-l4-c5__2,61.89227104187012,1.0,0.0,2,1
ferry-l4-c5__3,59.619903564453125,1.0,0.0,2,1
ferry-l4-c5__4,61.95545196533203,1.0,0.0,2,1
ferry-l4-c5__5,56.46729469299317,1.0,0.0,2,1
ferry-l4-c5__6,58.31170082092285,1.0,0.0,2,1
ferry-l4-c5__7,64.99361991882324,1.0,0.0,2,1
ferry-l4-c6__0,61.17987632751465,1.0,0.0,2,1
ferry-l4-c6__1,70.04308700561523,1.0,0.0,2,1
ferry-l4-c6__2,64.26382064819336,1.0,0.0,2,1
ferry-l4-c6__3,55.86719512939453,1.0,0.0,2,1
ferry-l4-c6__4,76.62606239318848,1.0,0.0,2,1
ferry-l4-c6__5,79.86283302307129,1.0,0.0,2,1
ferry-l4-c6__6,63.65227699279785,1.0,0.0,2,1
ferry-l4-c6__7,73.04620742797852,1.0,0.0,2,1
ferry-l4-c6__8,71.17986679077148,1.0,0.0,2,1
ferry-l4-c6__9,76.18403434753418,1.0,0.0,2,1
ferry-l5-c3__0,49.85499382019043,1.0,0.0,2,1
ferry-l5-c3__1,52.76083946228027,1.0,0.0,2,1
ferry-l5-c3__2,54.7027587890625,1.0,0.0,2,1
ferry-l5-c3__3,54.28433418273926,1.0,0.0,2,1
ferry-l5-c3__4,55.06038665771485,1.0,0.0,2,1
ferry-l5-c4__0,54.39162254333496,1.0,0.0,2,1
ferry-l5-c4__1,55.62567710876465,1.0,0.0,2,1
ferry-l5-c4__2,58.72869491577149,1.0,0.0,2,1
ferry-l5-c4__3,59.66258049011231,1.0,0.0,2,1
ferry-l5-c4__4,52.71792411804199,1.0,0.0,2,1
ferry-l5-c4__5,58.9134693145752,1.0,0.0,2,1
ferry-l5-c4__6,56.59723281860352,1.0,0.0,2,1
ferry-l5-c4__7,60.097694396972656,1.0,0.0,2,1
ferry-l5-c5__0,57.23237991333008,1.0,0.0,2,1
ferry-l5-c5__1,70.69277763366699,1.0,0.0,2,1
ferry-l5-c5__2,62.2715950012207,1.0,0.0,2,1
ferry-l5-c5__3,52.5057315826416,1.0,0.0,2,1
ferry-l5-c5__4,82.59248733520508,1.0,0.0,2,1
ferry-l5-c6__0,176.18274688720703,1.0,0.0,2,1
ferry-l5-c6__1,77.73184776306152,1.0,0.0,2,1
ferry-l5-c6__2,172.30772972106934,1.0,0.0,2,1
ferry-l5-c6__3,92.08822250366212,1.0,0.0,2,1
ferry-l5-c6__4,152.43005752563477,1.0,0.0,2,1
ferry-l5-c6__5,171.29111289978027,1.0,0.0,2,1
ferry-l5-c6__6,119.84992027282716,1.0,0.0,2,1
ferry-l5-c6__7,72.19314575195312,1.0,0.0,2,1
ferry-l5-c6__8,148.04935455322266,1.0,0.0,2,1
ferry-l6-c3__0,55.6793212890625,1.0,0.0,2,1
ferry-l6-c3__1,55.09734153747559,1.0,0.0,2,1
ferry-l6-c3__2,53.32040786743164,1.0,0.0,2,1
ferry-l6-c3__3,56.53882026672363,1.0,0.0,2,1
ferry-l6-c3__4,51.763296127319336,1.0,0.0,2,1
ferry-l6-c3__5,55.670976638793945,1.0,0.0,2,1
ferry-l6-c3__6,55.31477928161621,1.0,0.0,2,1
ferry-l6-c3__7,58.48383903503418,1.0,0.0,2,1
ferry-l6-c4__0,62.529563903808594,1.0,0.0,2,1
ferry-l6-c4__1,57.53707885742188,1.0,0.0,2,1
ferry-l6-c4__10,58.96496772766113,1.0,0.0,2,1
ferry-l6-c4__2,57.880401611328125,1.0,0.0,2,1
ferry-l6-c4__3,58.33959579467773,1.0,0.0,2,1
ferry-l6-c4__4,64.1939640045166,1.0,0.0,2,1
ferry-l6-c4__5,56.78224563598633,1.0,0.0,2,1
ferry-l6-c4__6,54.81910705566406,1.0,0.0,2,1
ferry-l6-c4__7,63.2929801940918,1.0,0.0,2,1
ferry-l6-c4__8,62.49117851257324,1.0,0.0,2,1
ferry-l6-c4__9,64.50581550598145,1.0,0.0,2,1
ferry-l6-c5__0,77.94880867004395,1.0,0.0,2,1
ferry-l6-c5__1,107.22947120666504,1.0,0.0,2,1
ferry-l6-c5__2,79.69880104064941,1.0,0.0,2,1
ferry-l6-c5__3,72.73030281066895,1.0,0.0,2,1
ferry-l6-c5__4,111.23538017272948,1.0,0.0,2,1
ferry-l6-c5__5,56.95819854736328,1.0,0.0,2,1
ferry-l6-c5__6,77.88491249084473,1.0,0.0,2,1
ferry-l6-c5__7,90.3451442718506,1.0,0.0,2,1
ferry-l6-c5__8,87.48173713684082,1.0,0.0,2,1
ferry-l6-c6__0,418.4134006500244,1.0,0.0,2,1
ferry-l6-c6__1,92.72623062133788,1.0,0.0,2,1
ferry-l6-c6__2,196.14076614379883,1.0,0.0,2,1
ferry-l6-c6__3,138.02027702331543,1.0,0.0,2,1
ferry-l6-c6__4,108.69240760803224,1.0,0.0,2,1
ferry-l6-c6__5,312.87646293640137,1.0,0.0,2,1
ferry-l6-c6__6,183.5207939147949,1.0,0.0,2,1
ferry-l6-c6__7,349.3318557739258,1.0,0.0,2,1
gripperproblem_3_2_2_102__0,57.23786354064941,1.0,0.0,2,1
gripperproblem_3_2_2_11__0,57.941436767578125,1.0,0.0,2,1
gripperproblem_3_2_2_18__0,55.541276931762695,1.0,0.0,2,1
gripperproblem_3_2_2_44__0,55.01079559326172,1.0,0.0,2,1
gripperproblem_3_2_2_46__0,54.20136451721192,1.0,0.0,2,1
gripperproblem_3_2_2_54__0,57.38949775695801,1.0,0.0,2,1
gripperproblem_3_2_2_95__0,61.603546142578125,1.0,0.0,2,1
gripperproblem_3_2_3_122__0,57.54208564758301,1.0,0.0,2,1
gripperproblem_3_2_3_125__0,55.40895462036133,1.0,0.0,2,1
gripperproblem_3_2_3_126__0,56.59317970275879,1.0,0.0,2,1
gripperproblem_3_2_3_31__0,56.86807632446289,1.0,0.0,2,1
gripperproblem_3_2_3_89__0,56.038856506347656,1.0,0.0,2,1
gripperproblem_3_2_4_123__0,56.78367614746094,1.0,0.0,2,1
gripperproblem_3_2_4_131__0,57.39068984985352,1.0,0.0,2,1
gripperproblem_3_2_4_134__0,61.720848083496094,1.0,0.0,2,1
gripperproblem_3_2_4_140__0,57.58476257324219,1.0,0.0,2,1
gripperproblem_3_2_4_142__0,65.05250930786133,1.0,0.0,2,1
gripperproblem_3_2_4_15__0,64.29171562194824,1.0,0.0,2,1
gripperproblem_3_2_4_40__0,61.35988235473633,1.0,0.0,2,1
gripperproblem_3_2_4_61__0,64.83149528503418,1.0,0.0,2,1
gripperproblem_3_2_4_74__0,59.33570861816406,1.0,0.0,2,1
gripperproblem_3_2_4_83__0,66.70093536376953,1.0,0.0,2,1
gripperproblem_3_2_5_107__0,69.12541389465332,1.0,0.0,2,1
gripperproblem_3_2_5_110__0,57.6784610748291,1.0,0.0,2,1
gripperproblem_3_2_5_149__0,72.20697402954102,1.0,0.0,2,1
gripperproblem_3_2_5_25__0,66.7574405670166,1.0,0.0,2,1
gripperproblem_3_2_5_27__0,59.17429924011231,1.0,0.0,2,1
gripperproblem_3_2_5_64__0,73.2262134552002,1.0,0.0,2,1
gripperproblem_3_3_2_10__0,56.43534660339356,1.0,0.0,2,1
gripperproblem_3_3_2_130__0,55.66048622131348,1.0,0.0,2,1
gripperproblem_3_3_2_144__0,57.1446418762207,1.0,0.0,2,1
gripperproblem_3_3_2_1__0,57.143211364746094,1.0,0.0,2,1
gripperproblem_3_3_2_20__0,61.32626533508301,1.0,0.0,2,1
gripperproblem_3_3_2_37__0,55.22418022155762,1.0,0.0,2,1
gripperproblem_3_3_2_60__0,58.03012847900391,1.0,0.0,2,1
gripperproblem_3_3_2_63__0,58.45403671264648,1.0,0.0,2,1
gripperproblem_3_3_2_99__0,55.71961402893066,1.0,0.0,2,1
gripperproblem_3_3_3_132__0,63.601016998291016,1.0,0.0,2,1
gripperproblem_3_3_3_19__0,61.02728843688965,1.0,0.0,2,1
gripperproblem_3_3_3_33__0,72.94201850891113,1.0,0.0,2,1
gripperproblem_3_3_3_56__0,74.03278350830078,1.0,0.0,2,1
gripperproblem_3_3_3_59__0,58.96306037902832,1.0,0.0,2,1
gripperproblem_3_3_3_65__0,73.13299179077148,1.0,0.0,2,1
gripperproblem_3_3_3_68__0,55.97877502441406,1.0,0.0,2,1
gripperproblem_3_3_3_94__0,69.60439682006836,1.0,0.0,2,1
gripperproblem_4_2_2_34__0,55.86552619934082,1.0,0.0,2,1
gripperproblem_4_2_2_43__0,59.48519706726074,1.0,0.0,2,1
gripperproblem_4_2_2_69__0,60.7144832611084,1.0,0.0,2,1
gripperproblem_4_2_2_90__0,57.33895301818848,1.0,0.0,2,1
gripperproblem_4_2_3_129__0,71.87056541442871,1.0,0.0,2,1
gripperproblem_4_2_3_62__0,58.31313133239746,1.0,0.0,2,1
gripperproblem_4_2_3_70__0,71.98405265808105,1.0,0.0,2,1
gripperproblem_4_2_4_105__0,60.96005439758301,1.0,0.0,2,1
gripperproblem_4_2_4_128__0,81.48360252380371,1.0,0.0,2,1
gripperproblem_4_2_4_137__0,74.9208927154541,1.0,0.0,2,1
gripperproblem_4_2_4_42__0,102.61344909667967,1.0,0.0,2,1
gripperproblem_4_2_4_45__0,70.77550888061523,1.0,0.0,2,1
gripperproblem_4_2_5_146__0,89.19525146484375,1.0,0.0,2,1
gripperproblem_4_2_5_32__0,137.4204158782959,1.0,0.0,2,1
gripperproblem_4_2_5_71__0,94.39492225646973,1.0,0.0,2,1
gripperproblem_4_2_5_77__0,63.88735771179199,1.0,0.0,2,1
gripperproblem_4_3_2_117__0,61.33866310119629,1.0,0.0,2,1
gripperproblem_4_3_2_73__0,57.2507381439209,1.0,0.0,2,1
gripperproblem_4_3_2_92__0,70.62983512878418,1.0,0.0,2,1
gripperproblem_5_2_2_103__0,55.661916732788086,1.0,0.0,2,1
gripperproblem_5_2_2_112__0,58.485984802246094,1.0,0.0,2,1
gripperproblem_5_2_2_138__0,57.60288238525391,1.0,0.0,2,1
gripperproblem_5_2_2_150__0,57.61289596557617,1.0,0.0,2,1
gripperproblem_5_2_2_28__0,57.97982215881348,1.0,0.0,2,1
gripperproblem_5_2_2_35__0,63.27700614929199,1.0,0.0,2,1
gripperproblem_5_2_2_47__0,62.66927719116211,1.0,0.0,2,1
gripperproblem_5_2_2_67__0,56.110382080078125,1.0,0.0,2,1
gripperproblem_5_2_3_104__0,61.34796142578125,1.0,0.0,2,1
gripperproblem_5_2_3_124__0,62.61563301086426,1.0,0.0,2,1
gripperproblem_5_2_3_17__0,125.65064430236816,1.0,0.0,2,1
