Name,Time-LPG,Corr-LPG,Sys-LPG,Planner-LPG
ferry-l6-c6__0,235.5499267578125,1.0,2,2
ferry-l6-c6__1,166.27931594848633,1.0,2,2
ferry-l6-c6__10,157.84311294555664,1.0,2,2
ferry-l6-c6__11,194.1044330596924,1.0,2,2
ferry-l6-c6__12,178.73358726501465,1.0,2,2
ferry-l6-c6__13,173.24328422546387,1.0,2,2
ferry-l6-c6__14,177.47092247009277,1.0,2,2
ferry-l6-c6__15,195.2681541442871,1.0,2,2
ferry-l6-c6__16,155.55739402770996,1.0,2,2
ferry-l6-c6__17,174.44562911987305,1.0,2,2
ferry-l6-c6__18,180.4451942443848,1.0,2,2
ferry-l6-c6__19,180.08780479431152,1.0,2,2
ferry-l6-c6__2,168.61581802368164,1.0,2,2
ferry-l6-c6__20,175.3745079040527,1.0,2,2
ferry-l6-c6__21,169.65365409851074,1.0,2,2
ferry-l6-c6__22,184.18622016906735,1.0,2,2
ferry-l6-c6__23,176.24258995056152,1.0,2,2
ferry-l6-c6__24,182.7380657196045,1.0,2,2
ferry-l6-c6__25,192.457914352417,1.0,2,2
ferry-l6-c6__26,163.47503662109375,1.0,2,2
ferry-l6-c6__27,159.7611904144287,1.0,2,2
ferry-l6-c6__28,179.91137504577637,1.0,2,2
ferry-l6-c6__29,178.40266227722168,1.0,2,2
ferry-l6-c6__3,196.0620880126953,1.0,2,2
ferry-l6-c6__30,170.3195571899414,1.0,2,2
ferry-l6-c6__31,154.33120727539062,1.0,2,2
ferry-l6-c6__32,170.64809799194336,1.0,2,2
ferry-l6-c6__33,161.93008422851562,1.0,2,2
ferry-l6-c6__34,167.95992851257324,1.0,2,2
ferry-l6-c6__35,183.17461013793945,1.0,2,2
ferry-l6-c6__36,171.28539085388184,1.0,2,2
ferry-l6-c6__37,172.90115356445312,1.0,2,2
ferry-l6-c6__38,178.9567470550537,1.0,2,2
ferry-l6-c6__39,179.35872077941897,1.0,2,2
ferry-l6-c6__4,167.8907871246338,1.0,2,2
ferry-l6-c6__40,160.83693504333496,1.0,2,2
ferry-l6-c6__41,177.12783813476562,1.0,2,2
ferry-l6-c6__42,164.07179832458496,1.0,2,2
ferry-l6-c6__43,179.0006160736084,1.0,2,2
ferry-l6-c6__44,202.25071907043457,1.0,2,2
ferry-l6-c6__45,183.3629608154297,1.0,2,2
ferry-l6-c6__46,163.24353218078613,1.0,2,2
ferry-l6-c6__47,172.02377319335938,1.0,2,2
ferry-l6-c6__48,193.33600997924805,1.0,2,2
ferry-l6-c6__49,195.22380828857425,1.0,2,2
ferry-l6-c6__5,168.63608360290527,1.0,2,2
ferry-l6-c6__50,181.5273761749268,1.0,2,2
ferry-l6-c6__51,167.0839786529541,1.0,2,2
ferry-l6-c6__52,177.03604698181152,1.0,2,2
ferry-l6-c6__53,205.84392547607425,1.0,2,2
ferry-l6-c6__54,166.0306453704834,1.0,2,2
ferry-l6-c6__55,166.8097972869873,1.0,2,2
ferry-l6-c6__56,154.50382232666016,1.0,2,2
ferry-l6-c6__57,174.27563667297363,1.0,2,2
ferry-l6-c6__58,173.87700080871582,1.0,2,2
ferry-l6-c6__59,169.0371036529541,1.0,2,2
ferry-l6-c6__6,166.13054275512695,1.0,2,2
ferry-l6-c6__60,172.36995697021484,1.0,2,2
ferry-l6-c6__61,208.79626274108887,1.0,2,2
ferry-l6-c6__62,160.95590591430664,1.0,2,2
ferry-l6-c6__63,176.25904083251953,1.0,2,2
ferry-l6-c6__64,170.49193382263184,1.0,2,2
ferry-l6-c6__65,178.66230010986328,1.0,2,2
ferry-l6-c6__66,170.20750045776367,1.0,2,2
ferry-l6-c6__67,194.58794593811035,1.0,2,2
ferry-l6-c6__68,183.97092819213867,1.0,2,2
ferry-l6-c6__69,194.9942111968994,1.0,2,2
ferry-l6-c6__7,187.3197555541992,1.0,2,2
ferry-l6-c6__70,201.74193382263184,1.0,2,2
ferry-l6-c6__71,193.1614875793457,1.0,2,2
ferry-l6-c6__72,163.38610649108887,1.0,2,2
ferry-l6-c6__73,158.25438499450684,1.0,2,2
ferry-l6-c6__74,185.3768825531006,1.0,2,2
ferry-l6-c6__75,168.23959350585938,1.0,2,2
ferry-l6-c6__76,179.64839935302734,1.0,2,2
ferry-l6-c6__77,189.58187103271484,1.0,2,2
ferry-l6-c6__78,198.6830234527588,1.0,2,2
ferry-l6-c6__79,215.7001495361328,1.0,2,2
ferry-l6-c6__8,174.70717430114746,1.0,2,2
ferry-l6-c6__80,160.68363189697266,1.0,2,2
ferry-l6-c6__81,176.12743377685547,1.0,2,2
ferry-l6-c6__82,158.68544578552246,1.0,2,2
ferry-l6-c6__83,187.36958503723145,1.0,2,2
ferry-l6-c6__84,165.3461456298828,1.0,2,2
ferry-l6-c6__85,185.60433387756348,1.0,2,2
ferry-l6-c6__86,213.88912200927732,1.0,2,2
ferry-l6-c6__87,181.66327476501465,1.0,2,2
ferry-l6-c6__88,187.28351593017575,1.0,2,2
ferry-l6-c6__89,184.65828895568848,1.0,2,2
ferry-l6-c6__9,161.50212287902832,1.0,2,2
ferry-l6-c6__90,160.69865226745603,1.0,2,2
ferry-l6-c6__91,185.4114532470703,1.0,2,2
ferry-l6-c6__92,183.38799476623532,1.0,2,2
ferry-l6-c6__93,167.47474670410156,1.0,2,2
ferry-l6-c6__94,174.77822303771973,1.0,2,2
ferry-l6-c6__95,182.9209327697754,1.0,2,2
ferry-l6-c6__96,161.81063652038574,1.0,2,2
ferry-l6-c6__97,178.30324172973633,1.0,2,2
ferry-l6-c6__98,172.1503734588623,1.0,2,2
ferry-l6-c6__99,179.4898509979248,1.0,2,2
gripperproblem_4_6_7_113__0,187.4079704284668,1.0,2,2
gripperproblem_4_6_7_114__0,171.04649543762207,1.0,2,2
gripperproblem_4_6_7_115__0,223.1731414794922,1.0,2,2
gripperproblem_4_6_7_116__0,183.25018882751465,1.0,2,2
gripperproblem_4_6_7_117__0,188.88568878173828,1.0,2,2
gripperproblem_4_6_7_118__0,194.01192665100095,1.0,2,2
gripperproblem_4_6_7_119__0,157.72318840026855,1.0,2,2
gripperproblem_4_6_7_120__0,178.8930892944336,1.0,2,2
gripperproblem_4_6_7_121__0,176.2239933013916,1.0,2,2
gripperproblem_4_6_7_122__0,216.33243560791016,1.0,2,2
gripperproblem_4_6_7_123__0,188.9743804931641,1.0,2,2
gripperproblem_4_6_7_124__0,189.82839584350583,1.0,2,2
gripperproblem_4_6_7_125__0,196.67482376098636,1.0,2,2
gripperproblem_4_6_7_126__0,170.46022415161133,1.0,2,2
gripperproblem_4_6_7_127__0,191.11251831054688,1.0,2,2
gripperproblem_4_6_7_128__0,189.220666885376,1.0,2,2
gripperproblem_4_6_7_129__0,195.3139305114746,1.0,2,2
gripperproblem_4_6_7_130__0,167.4947738647461,1.0,2,2
gripperproblem_4_6_7_131__0,171.02718353271484,1.0,2,2
gripperproblem_4_6_7_132__0,185.29319763183597,1.0,2,2
gripperproblem_4_6_7_133__0,186.83171272277832,1.0,2,2
gripperproblem_4_6_7_134__0,176.1338710784912,1.0,2,2
gripperproblem_4_6_7_135__0,176.4121055603027,1.0,2,2
gripperproblem_4_6_7_136__0,188.60721588134768,1.0,2,2
gripperproblem_4_6_7_137__0,167.1304702758789,1.0,2,2
gripperproblem_4_6_7_138__0,186.05828285217285,1.0,2,2
gripperproblem_4_6_7_139__0,215.9178256988525,1.0,2,2
gripperproblem_4_6_7_140__0,187.3340606689453,1.0,2,2
gripperproblem_4_6_7_141__0,183.78376960754397,1.0,2,2
gripperproblem_4_6_7_142__0,188.27009201049805,1.0,2,2
gripperproblem_4_6_7_143__0,185.530424118042,1.0,2,2
gripperproblem_4_6_7_144__0,159.52563285827637,1.0,2,2
gripperproblem_4_6_7_145__0,160.25233268737793,1.0,2,2
gripperproblem_4_6_7_146__0,171.41366004943848,1.0,2,2
gripperproblem_4_6_7_147__0,188.7943744659424,1.0,2,2
gripperproblem_4_6_7_148__0,184.9827766418457,1.0,2,2
gripperproblem_4_6_7_149__0,175.35400390625,1.0,2,2
gripperproblem_4_6_7_150__0,185.12392044067383,1.0,2,2
gripperproblem_4_6_7_151__0,188.51590156555176,1.0,2,2
gripperproblem_4_6_7_152__0,197.2537040710449,1.0,2,2
gripperproblem_4_6_7_153__0,167.62375831604004,1.0,2,2
gripperproblem_4_6_7_154__0,181.4663410186768,1.0,2,2
gripperproblem_4_6_7_155__0,173.53582382202148,1.0,2,2
gripperproblem_4_6_7_156__0,204.7080993652344,1.0,2,2
gripperproblem_4_6_7_157__0,186.97237968444824,1.0,2,2
gripperproblem_4_6_7_158__0,167.93084144592285,1.0,2,2
gripperproblem_4_6_7_159__0,178.91836166381836,1.0,2,2
gripperproblem_4_6_7_160__0,192.5370693206787,1.0,2,2
gripperproblem_4_6_7_161__0,208.1551551818848,1.0,2,2
gripperproblem_4_6_7_162__0,187.43133544921875,1.0,2,2
gripperproblem_4_6_7_163__0,192.1555995941162,1.0,2,2
gripperproblem_4_6_7_164__0,214.77198600769043,1.0,2,2
gripperproblem_4_6_7_165__0,199.28288459777832,1.0,2,2
gripperproblem_4_6_7_166__0,176.89204216003418,1.0,2,2
gripperproblem_4_6_7_167__0,198.79961013793945,1.0,2,2
gripperproblem_4_6_7_168__0,166.6891574859619,1.0,2,2
gripperproblem_4_6_7_169__0,193.5734748840332,1.0,2,2
gripperproblem_4_6_7_170__0,180.6032657623291,1.0,2,2
gripperproblem_4_6_7_171__0,164.92342948913574,1.0,2,2
gripperproblem_4_6_7_172__0,181.0593605041504,1.0,2,2
gripperproblem_4_6_7_173__0,200.9577751159668,1.0,2,2
gripperproblem_4_6_7_174__0,189.06354904174805,1.0,2,2
gripperproblem_4_6_7_175__0,200.90913772583008,1.0,2,2
gripperproblem_4_6_7_176__0,170.4394817352295,1.0,2,2
gripperproblem_4_6_7_177__0,188.8689994812012,1.0,2,2
gripperproblem_4_6_7_178__0,184.4339370727539,1.0,2,2
gripperproblem_4_6_7_179__0,194.8404312133789,1.0,2,2
gripperproblem_4_6_7_180__0,200.2584934234619,1.0,2,2
gripperproblem_4_6_7_181__0,184.2811107635498,1.0,2,2
gripperproblem_4_6_7_182__0,182.9378604888916,1.0,2,2
gripperproblem_4_6_7_183__0,181.14161491394043,1.0,2,2
gripperproblem_4_6_7_184__0,193.2334899902344,1.0,2,2
gripperproblem_4_6_7_185__0,190.1381015777588,1.0,2,2
gripperproblem_4_6_7_186__0,186.78689002990723,1.0,2,2
gripperproblem_4_6_7_187__0,181.60104751586917,1.0,2,2
gripperproblem_4_6_7_188__0,181.19478225708008,1.0,2,2
gripperproblem_4_6_7_189__0,175.95767974853516,1.0,2,2
gripperproblem_4_6_7_190__0,188.4019374847412,1.0,2,2
gripperproblem_4_6_7_191__0,178.8313388824463,1.0,2,2
gripperproblem_4_6_7_192__0,192.1374797821045,1.0,2,2
gripperproblem_4_6_7_193__0,189.53418731689453,1.0,2,2
gripperproblem_4_6_7_194__0,184.83901023864743,1.0,2,2
gripperproblem_4_6_7_195__0,200.861930847168,1.0,2,2
gripperproblem_4_6_7_196__0,188.3571147918701,1.0,2,2
gripperproblem_4_6_7_197__0,174.23367500305176,1.0,2,2
gripperproblem_4_6_7_198__0,192.0263767242432,1.0,2,2
gripperproblem_4_6_7_199__0,179.31652069091797,1.0,2,2
gripperproblem_4_6_7_200__0,171.79226875305176,1.0,2,2
gripperproblem_5_7_9_10__0,175.77767372131348,1.0,2,2
gripperproblem_5_7_9_11__0,191.24317169189453,1.0,2,2
gripperproblem_5_7_9_12__0,198.9843845367432,1.0,2,2
gripperproblem_5_7_9_13__0,190.9201145172119,1.0,2,2
gripperproblem_5_7_9_14__0,186.07330322265625,1.0,2,2
gripperproblem_5_7_9_15__0,217.12422370910645,1.0,2,2
gripperproblem_5_7_9_16__0,174.73793029785156,1.0,2,2
gripperproblem_5_7_9_17__0,184.4179630279541,1.0,2,2
gripperproblem_5_7_9_18__0,200.7088661193848,1.0,2,2
gripperproblem_5_7_9_19__0,205.81841468811035,1.0,2,2
gripperproblem_5_7_9_20__0,209.39064025878903,1.0,2,2
gripperproblem_5_7_9_5__0,198.14372062683103,1.0,2,2
hanoiproblem_10_100__0,191.9252872467041,1.0,2,2
hanoiproblem_10_101__0,187.0591640472412,1.0,2,2
hanoiproblem_10_102__0,201.8887996673584,1.0,2,2
hanoiproblem_10_103__0,190.58656692504883,1.0,2,2
hanoiproblem_10_104__0,196.20847702026367,1.0,2,2
hanoiproblem_10_105__0,221.94385528564453,1.0,2,2
hanoiproblem_10_106__0,194.2012310028076,1.0,2,2
hanoiproblem_10_107__0,209.61236953735352,1.0,2,2
hanoiproblem_10_108__0,213.18721771240237,1.0,2,2
hanoiproblem_10_109__0,191.0855770111084,1.0,2,2
hanoiproblem_10_110__0,319.54503059387207,1.0,2,2
hanoiproblem_10_111__0,191.81156158447263,1.0,2,2
hanoiproblem_10_112__0,190.4506683349609,1.0,2,2
hanoiproblem_10_113__0,180.4332733154297,1.0,2,2
hanoiproblem_10_114__0,184.2105388641357,1.0,2,2
hanoiproblem_10_115__0,164.0915870666504,1.0,2,2
hanoiproblem_10_116__0,176.12171173095703,1.0,2,2
hanoiproblem_10_117__0,197.33715057373047,1.0,2,2
hanoiproblem_10_118__0,208.45985412597656,1.0,2,2
hanoiproblem_10_119__0,209.1481685638428,1.0,2,2
hanoiproblem_6_101__0,3277.0116329193115,1.0,2,2
hanoiproblem_6_102__0,2948.5130310058594,1.0,2,2
hanoiproblem_6_103__0,545.4518795013428,1.0,2,2
hanoiproblem_6_104__0,2951.436758041382,1.0,2,2
hanoiproblem_6_105__0,3075.634002685547,1.0,2,2
hanoiproblem_6_106__0,2967.501163482666,1.0,2,2
hanoiproblem_6_107__0,3039.5288467407227,1.0,2,2
hanoiproblem_6_108__0,3155.3611755371094,1.0,2,2
hanoiproblem_6_109__0,2990.5807971954346,1.0,2,2
hanoiproblem_6_110__0,2994.7986602783203,1.0,2,2
hanoiproblem_6_111__0,3029.74009513855,1.0,2,2
hanoiproblem_6_112__0,167.84906387329102,1.0,2,2
hanoiproblem_6_113__0,2872.9724884033203,1.0,2,2
hanoiproblem_6_114__0,3031.1079025268555,1.0,2,2
hanoiproblem_6_115__0,2801.0082244873047,1.0,2,2
hanoiproblem_6_116__0,2979.8502922058105,1.0,2,2
hanoiproblem_6_117__0,3025.9311199188232,1.0,2,2
hanoiproblem_6_118__0,3116.0945892333984,1.0,2,2
hanoiproblem_6_119__0,3099.0381240844727,1.0,2,2
hanoiproblem_6_120__0,2979.3953895568848,1.0,2,2
hanoiproblem_6_121__0,3074.216365814209,1.0,2,2
hanoiproblem_6_122__0,3067.885637283325,1.0,2,2
hanoiproblem_6_123__0,3069.517135620117,1.0,2,2
hanoiproblem_6_124__0,564.8300647735596,1.0,2,2
hanoiproblem_6_125__0,3042.1504974365234,1.0,2,2
hanoiproblem_6_126__0,3261.5151405334477,1.0,2,2
hanoiproblem_6_127__0,3002.203941345215,1.0,2,2
hanoiproblem_6_128__0,3044.658899307251,1.0,2,2
hanoiproblem_6_129__0,3359.9531650543213,1.0,2,2
hanoiproblem_6_130__0,182.8796863555908,1.0,2,2
hanoiproblem_6_131__0,3180.556058883667,1.0,2,2
hanoiproblem_6_132__0,3207.566499710083,1.0,2,2
hanoiproblem_6_133__0,3021.843671798706,1.0,2,2
hanoiproblem_6_134__0,2979.2027473449707,1.0,2,2
hanoiproblem_6_135__0,3288.010597229004,1.0,2,2
hanoiproblem_6_136__0,178.6949634552002,1.0,2,2
hanoiproblem_6_137__0,3118.0062294006348,1.0,2,2
hanoiproblem_6_138__0,162.13345527648926,1.0,2,2
hanoiproblem_6_139__0,3181.391954421997,1.0,2,2
hanoiproblem_6_140__0,3132.3347091674805,1.0,2,2
hanoiproblem_6_141__0,3112.417697906494,1.0,2,2
hanoiproblem_6_142__0,3053.8010597229004,1.0,2,2
hanoiproblem_6_143__0,2889.7900581359863,1.0,2,2
hanoiproblem_6_144__0,2904.049634933472,1.0,2,2
hanoiproblem_6_145__0,3075.6077766418457,1.0,2,2
hanoiproblem_6_146__0,3090.5275344848637,1.0,2,2
hanoiproblem_6_147__0,2978.524684906006,1.0,2,2
hanoiproblem_6_148__0,2997.0970153808594,1.0,2,2
hanoiproblem_6_149__0,3153.088331222534,1.0,2,2
