Problem-JAC,Jaccard,Correctness-JAC,Sys-JAC,Problem-PF,SOFAIxPlansformers,Correctness-PF,Sys-PF,Problem-MIX,SOFAI,Correctness-MIX,Sys-MIX,Problem-FD,FD,Correctness-FD,Sys-FD
problem_10_0058,2062.5,1,2,problem_10_0058,23198.40407,1,1,problem_10_0059,359.375,1,2,problem_10_0058,2000,1,2
problem_10_0059,359.375,1,2,problem_10_0059,359.375,1,2,problem_10_0060,21093.78147,1,2,problem_10_0059,343.75,1,2
problem_10_0060,765.625,1,2,problem_10_0060,20836.39097,0.916666667,1,problem_10_0061,18471.74931,1,2,problem_10_0060,750,1,2
problem_10_0061,125,1,2,problem_10_0061,18311.11431,0.833333333,1,problem_10_0062,58232.9309,1,2,problem_10_0061,109.375,1,2
problem_10_0062,31687.5,1,2,problem_10_0062,27231.90761,0.818181818,1,problem_10_0063,19235.22115,1,2,problem_10_0062,31187.5,1,2
problem_10_0063,78.125,1,2,problem_10_0063,19536.56077,0.916666667,1,problem_10_0064,22470.13855,1,2,problem_10_0063,93.75,1,2
problem_10_0064,796.875,1,2,problem_10_0064,22575.24133,0.916666667,1,problem_10_0065,35593.8,1,2,problem_10_0064,812.5,1,2
problem_10_0065,35640.6,1,2,problem_10_0065,22473.50049,0.818181818,1,problem_10_0066,22222.00918,1,2,problem_10_0065,34984.4,1,2
problem_10_0066,187.5,1,2,problem_10_0066,22664.61611,0.928571429,1,problem_10_0067,6593.75,1,2,problem_10_0066,171.875,1,2
problem_10_0067,6531.25,1,2,problem_10_0067,6593.75,1,2,problem_10_0068,15913.33914,1,2,problem_10_0067,6515.62,1,2
problem_10_0068,109.375,1,2,problem_10_0068,15904.742,0.916666667,1,problem_10_0069,23884.34935,1,1,problem_10_0068,109.375,1,2
problem_10_0069,8546.88,1,2,problem_10_0069,24194.98634,1,1,problem_10_0070,21400.06375,1,2,problem_10_0069,8343.75,1,2
problem_10_0070,1015.62,1,2,problem_10_0070,20427.50478,0.833333333,1,problem_10_0071,19349.5059,1,2,problem_10_0070,1031.25,1,2
problem_10_0071,31.25,1,2,problem_10_0071,19416.00084,0.833333333,1,problem_10_0072,1140.62,1,2,problem_10_0071,46.875,1,2
problem_10_0072,1109.38,1,2,problem_10_0072,1140.62,1,2,problem_10_0073,60000,0,-1,problem_10_0072,1109.38,1,2
problem_10_0073,39203.1,1,2,problem_10_0073,27814.56327,0.727272727,1,problem_10_0074,55000,0.818181818,1,problem_10_0073,40328.1,1,2
problem_10_0074,60000,0,-1,problem_10_0074,27361.27591,0.818181818,1,problem_10_0075,22394.15669,1,2,problem_10_0074,60000,0,-1
problem_10_0075,625,1,2,problem_10_0075,22032.74059,0.769230769,1,problem_10_0076,23703.58324,1,2,problem_10_0075,593.75,1,2
problem_10_0076,3031.25,1,2,problem_10_0076,20742.43665,0.923076923,1,problem_10_0077,14092.06557,1,2,problem_10_0076,3000,1,2
problem_10_0077,484.375,1,2,problem_10_0077,13420.00151,0.75,1,problem_10_0078,20343.42647,1,1,problem_10_0077,453.125,1,2
problem_10_0078,140.625,1,2,problem_10_0078,20768.84604,1,1,problem_10_0079,13710.95467,1,2,problem_10_0078,125,1,2
problem_10_0079,46.875,1,2,problem_10_0079,15820.77813,0.923076923,1,problem_10_0080,18042.00912,1,2,problem_10_0079,46.875,1,2
problem_10_0080,0,1,2,problem_10_0080,18708.04548,0.923076923,1,problem_10_0081,93.75,1,2,problem_10_0080,0,1,2
problem_10_0081,109.375,1,2,problem_10_0081,109.375,1,2,problem_10_0082,21286.61704,1,2,problem_10_0081,109.375,1,2
problem_10_0082,31.25,1,2,problem_10_0082,24430.6941,0.727272727,1,problem_10_0083,18802.80042,1,1,problem_10_0082,31.25,1,2
problem_10_0083,125,1,2,problem_10_0083,19723.58513,1,1,problem_10_0084,562.5,1,2,problem_10_0083,93.75,1,2
problem_10_0084,562.5,1,2,problem_10_0084,593.75,1,2,problem_10_0085,18194.75365,1,2,problem_10_0084,515.625,1,2
problem_10_0085,421.875,1,2,problem_10_0085,18503.00622,1,1,problem_10_0086,19823.75288,1,2,problem_10_0085,421.875,1,2
problem_10_0086,46.875,1,2,problem_10_0086,19369.52424,0.916666667,1,problem_10_0087,20038.29217,1,2,problem_10_0086,46.875,1,2
problem_10_0087,109.375,1,2,problem_10_0087,20693.8355,0.833333333,1,problem_10_0088,26855.09776,1,2,problem_10_0087,125,1,2
problem_10_0088,3109.38,1,2,problem_10_0088,3140.62,1,2,problem_10_0089,20373.19565,1,1,problem_10_0088,3046.88,1,2
problem_10_0089,562.5,1,2,problem_10_0089,20607.97787,1,1,problem_10_0090,18367.29169,1,2,problem_10_0089,562.5,1,2
problem_10_0090,500,1,2,problem_10_0090,14946.81954,0.785714286,1,problem_10_0091,3890.62,1,2,problem_10_0090,500,1,2
problem_10_0091,3906.25,1,2,problem_10_0091,23287.54139,1,1,problem_10_0092,23323.20857,1,1,problem_10_0091,3859.38,1,2
problem_10_0092,156.25,1,2,problem_10_0092,27182.92546,1,1,problem_10_0093,26447.34144,1,2,problem_10_0092,156.25,1,2
problem_10_0093,2406.25,1,2,problem_10_0093,24819.67926,0.909090909,1,problem_10_0094,17747.5605,1,2,problem_10_0093,2406.25,1,2
problem_10_0094,31.25,1,2,problem_10_0094,18547.50061,0.923076923,1,problem_10_0095,24288.0509,1,2,problem_10_0094,31.25,1,2
problem_10_0095,1734.38,1,2,problem_10_0095,1781.25,1,2,problem_10_0096,734.375,1,2,problem_10_0095,1765.62,1,2
problem_10_0096,781.25,1,2,problem_10_0096,812.5,1,2,problem_10_0097,17208.03142,1,2,problem_10_0096,750,1,2
problem_10_0097,718.75,1,2,problem_10_0097,17147.40753,0.923076923,1,problem_10_0098,26312.21294,1,1,problem_10_0097,687.5,1,2
problem_10_0098,2250,1,2,problem_10_0098,29009.39226,0.818181818,1,problem_10_0099,18784.43313,1,1,problem_10_0098,2296.88,1,2
problem_10_0099,0,1,2,problem_10_0099,20212.39209,1,1,problem_10_0100,17989.30836,1,2,problem_10_0099,0,1,2
problem_10_0100,140.625,1,2,problem_10_0100,19697.18385,0.916666667,1,problem_11_0001,22500.06723,1,2,problem_10_0100,140.625,1,2
problem_11_0001,187.5,1,2,problem_11_0001,22642.83824,0.916666667,1,problem_11_0002,23343.05716,1,1,problem_11_0001,171.875,1,2
problem_11_0002,15.625,1,2,problem_11_0002,18515.06734,0.785714286,1,problem_11_0003,32263.68164,1,2,problem_11_0002,15.625,1,2
problem_11_0003,9109.38,1,2,problem_11_0003,23684.61537,0.928571429,1,problem_11_0004,23190.91988,1,1,problem_11_0003,8796.88,1,2
problem_11_0004,8765.62,1,2,problem_11_0004,23203.60994,1,1,problem_11_0005,18716.85028,1,2,problem_11_0004,8562.5,1,2
problem_11_0005,31.25,1,2,problem_11_0005,21292.23776,0.933333333,1,problem_11_0006,55000,0.75,1,problem_11_0005,46.875,1,2
problem_11_0006,60000,0,-1,problem_11_0006,24880.09238,0.75,1,problem_11_0007,21015.58042,1,1,problem_11_0006,60000,0,-1
problem_11_0007,10.78891754,1,1,problem_11_0007,21830.72758,0.916666667,1,problem_11_0008,21121.67501,1,1,problem_11_0007,43656.2,1,2
problem_11_0008,12.41350174,1,1,problem_11_0008,22018.33844,1,1,problem_11_0009,25505.70488,1,2,problem_11_0008,3937.5,1,2
problem_11_0009,13.37981224,1,1,problem_11_0009,23973.56582,0.857142857,1,problem_11_0010,27103.13082,1,2,problem_11_0009,2375,1,2
problem_11_0010,9.009838104,1,1,problem_11_0010,23815.2225,0.857142857,1,problem_11_0011,16823.19999,1,1,problem_11_0010,4328.12,1,2
problem_11_0011,9.103298187,1,1,problem_11_0011,17244.97819,1,1,problem_11_0012,18916.63742,1,2,problem_11_0011,2828.12,1,2
problem_11_0012,125,1,2,problem_11_0012,20286.33404,0.928571429,1,problem_11_0013,46589.13854,1,2,problem_11_0012,140.625,1,2
problem_11_0013,21062.5,1,2,problem_11_0013,27341.49647,0.785714286,1,problem_11_0014,27450.20651,1,2,problem_11_0013,20515.6,1,2
problem_11_0014,9796.88,1,2,problem_11_0014,18424.15547,0.923076923,1,problem_11_0015,60000,0,-1,problem_11_0014,9796.88,1,2
problem_11_0015,60000,0,-1,problem_11_0015,60000,0,-1,problem_11_0016,29178.26915,1,2,problem_11_0015,60000,0,-1
problem_11_0016,2531.25,1,2,problem_11_0016,2562.5,1,2,problem_11_0017,8687.5,1,2,problem_11_0016,2406.25,1,2
problem_11_0017,8703.12,1,2,problem_11_0017,8750,1,2,problem_11_0018,17427.41299,1,2,problem_11_0017,8593.75,1,2
problem_11_0018,687.5,1,2,problem_11_0018,17651.92103,0.928571429,1,problem_11_0019,23416.62407,1,2,problem_11_0018,640.625,1,2
problem_11_0019,1156.25,1,2,problem_11_0019,22936.6889,0.928571429,1,problem_11_0020,22550.11082,1,2,problem_11_0019,1156.25,1,2
problem_11_0020,1843.75,1,2,problem_11_0020,20750.4847,0.769230769,1,problem_11_0021,54399.55902,1,2,problem_11_0020,1828.12,1,2
problem_11_0021,29296.9,1,2,problem_11_0021,26320.07217,0.916666667,1,problem_11_0022,33833.21643,1,2,problem_11_0021,28562.5,1,2
problem_11_0022,13578.1,1,2,problem_11_0022,21088.00673,0.923076923,1,problem_11_0023,55000,0.75,1,problem_11_0022,13250,1,2
problem_11_0023,60000,0,-1,problem_11_0023,28617.43021,0.916666667,1,problem_11_0024,20696.70916,1,2,problem_11_0023,60000,0,-1
problem_11_0024,109.375,1,2,problem_11_0024,22278.68128,0.928571429,1,problem_11_0025,60000,0,-1,problem_11_0024,109.375,1,2
problem_11_0025,60000,0,-1,problem_11_0025,60000,0,-1,problem_11_0026,26852.03195,1,2,problem_11_0025,60000,0,-1
problem_11_0026,6015.62,1,2,problem_11_0026,21256.71196,0.928571429,1,problem_11_0027,18671.24701,1,2,problem_11_0026,5875,1,2
problem_11_0027,140.625,1,2,problem_11_0027,18948.65179,0.9375,1,problem_11_0028,25345.69335,1,2,problem_11_0027,140.625,1,2
problem_11_0028,2390.62,1,2,problem_11_0028,23538.70511,0.692307692,1,problem_11_0029,21120.01586,1,2,problem_11_0028,2281.25,1,2
problem_11_0029,265.625,1,2,problem_11_0029,21133.84104,0.846153846,1,problem_11_0030,60000,0,-1,problem_11_0029,250,1,2
problem_11_0030,60000,0,-1,problem_11_0030,60000,0,-1,problem_11_0031,30210.61205,1,2,problem_11_0030,60000,0,-1
problem_11_0031,1906.25,1,2,problem_11_0031,30220.4752,0.846153846,1,problem_11_0032,22686.30433,1,1,problem_11_0031,1859.38,1,2
problem_11_0032,29375,1,2,problem_11_0032,21912.7841,0.846153846,1,problem_11_0033,45359.09745,1,2,problem_11_0032,28250,1,2
problem_11_0033,19437.5,1,2,problem_11_0033,23425.39406,0.923076923,1,problem_11_0034,11140.6,1,2,problem_11_0033,19609.4,1,2
problem_11_0034,10875,1,2,problem_11_0034,10796.9,1,2,problem_11_0035,22972.43667,1,2,problem_11_0034,10359.4,1,2
problem_11_0035,2171.88,1,2,problem_11_0035,20812.7625,0.857142857,1,problem_11_0036,12937.5,1,2,problem_11_0035,2078.12,1,2
problem_11_0036,12921.9,1,2,problem_11_0036,25732.04637,1,1,problem_11_0037,22186.55944,1,2,problem_11_0036,12562.5,1,2
problem_11_0037,171.875,1,2,problem_11_0037,19830.29103,0.923076923,1,problem_11_0038,26052.48284,1,2,problem_11_0037,171.875,1,2
problem_11_0038,156.25,1,2,problem_11_0038,24712.41117,1,1,problem_11_0039,13782.24635,1,2,problem_11_0038,140.625,1,2
problem_11_0039,0,1,2,problem_11_0039,13559.82399,0.866666667,1,problem_11_0040,25117.04349,1,2,problem_11_0039,0,1,2
problem_11_0040,3343.75,1,2,problem_11_0040,21105.21054,0.928571429,1,problem_11_0041,42648.10422,1,2,problem_11_0040,3296.88,1,2
problem_11_0041,17468.8,1,2,problem_11_0041,25799.39771,0.923076923,1,problem_11_0042,24854.16865,1,2,problem_11_0041,17140.6,1,2
problem_11_0042,1359.38,1,2,problem_11_0042,23165.4489,0.857142857,1,problem_11_0043,48248.96237,1,2,problem_11_0042,1343.75,1,2
problem_11_0043,26593.8,1,2,problem_11_0043,21582.05795,0.928571429,1,problem_11_0044,25626.63913,1,1,problem_11_0043,26734.4,1,2
problem_11_0044,28890.6,1,2,problem_11_0044,25772.089,1,1,problem_11_0045,21042.49334,1,1,problem_11_0044,29031.2,1,2
problem_11_0045,3734.38,1,2,problem_11_0045,19970.98613,1,1,problem_11_0046,22176.14055,1,1,problem_11_0045,3640.62,1,2
problem_11_0046,4328.12,1,2,problem_11_0046,21832.82518,0.846153846,1,problem_11_0047,18218.8,1,2,problem_11_0046,4328.12,1,2
problem_11_0047,18328.1,1,2,problem_11_0047,25147.89605,0.833333333,1,problem_11_0048,27297.74546,1,2,problem_11_0047,17781.2,1,2
problem_11_0048,2046.88,1,2,problem_11_0048,25758.67939,0.923076923,1,problem_11_0049,55000,0.916666667,1,problem_11_0048,2046.88,1,2
problem_11_0049,60000,0,-1,problem_11_0049,24639.67514,1,1,problem_11_0050,18266.37053,1,2,problem_11_0049,60000,0,-1
problem_11_0050,15.625,1,2,problem_11_0050,18774.66536,0.846153846,1,problem_11_0051,55000,0.666666667,1,problem_11_0050,15.625,1,2
problem_11_0051,60000,0,-1,problem_11_0051,24966.96424,0.666666667,1,problem_11_0052,19531.2,1,2,problem_11_0051,60000,0,-1
problem_11_0052,19359.4,1,2,problem_11_0052,19156.2,1,2,problem_11_0053,16829.60105,1,1,problem_11_0052,20015.6,1,2
problem_11_0053,15.625,1,2,problem_11_0053,17273.57483,1,1,problem_11_0054,17390.02371,1,2,problem_11_0053,46.875,1,2
problem_11_0054,31.25,1,2,problem_11_0054,19707.74937,1,1,problem_11_0055,21720.46018,1,2,problem_11_0054,15.625,1,2
problem_11_0055,171.875,1,2,problem_11_0055,23355.18074,0.928571429,1,problem_11_0056,31847.98649,1,2,problem_11_0055,171.875,1,2
problem_11_0056,12109.4,1,2,problem_11_0056,21852.55861,0.583333333,1,problem_11_0057,23645.89667,1,1,problem_11_0056,11890.6,1,2
problem_11_0057,9218.75,1,2,problem_11_0057,24791.07261,0.923076923,1,problem_11_0058,20519.52386,1,2,problem_11_0057,9171.88,1,2
problem_11_0058,281.25,1,2,problem_11_0058,21066.91289,0.875,1,problem_11_0059,19856.08435,1,1,problem_11_0058,250,1,2
problem_11_0059,390.625,1,2,problem_11_0059,20982.37348,1,1,problem_11_0060,17623.78026,1,2,problem_11_0059,375,1,2
problem_11_0060,1484.38,1,2,problem_11_0060,17118.25275,0.923076923,1,problem_11_0061,1140.62,1,2,problem_11_0060,1453.12,1,2
problem_11_0061,1125,1,2,problem_11_0061,26558.73251,0.833333333,1,problem_11_0062,55000,0.583333333,1,problem_11_0061,1062.5,1,2
problem_11_0062,60000,0,-1,problem_11_0062,28114.61496,0.583333333,1,problem_11_0063,24755.81169,1,2,problem_11_0062,60000,0,-1
problem_11_0063,296.875,1,2,problem_11_0063,18590.81769,0.769230769,1,problem_11_0064,25697.1817,1,1,problem_11_0063,296.875,1,2
problem_11_0064,11.48939133,0.571428571,1,problem_11_0064,25996.82522,1,1,problem_11_0065,24795.5265,1,2,problem_11_0064,60000,0,-1
problem_11_0065,5640.62,1,2,problem_11_0065,19221.76576,0.769230769,1,problem_11_0066,23350.98147,1,1,problem_11_0065,5562.5,1,2
problem_11_0066,2546.88,1,2,problem_11_0066,27192.42096,1,1,problem_11_0067,20027.23217,1,2,problem_11_0066,2453.12,1,2
problem_11_0067,46.875,1,2,problem_11_0067,21265.84888,0.928571429,1,problem_11_0068,26053.07746,1,2,problem_11_0067,62.5,1,2
problem_11_0068,3031.25,1,2,problem_11_0068,23525.91348,0.846153846,1,problem_11_0069,1171.88,1,2,problem_11_0068,2906.25,1,2
problem_11_0069,1140.62,1,2,problem_11_0069,1140.62,1,2,problem_11_0070,21760.47039,1,1,problem_11_0069,1140.62,1,2
problem_11_0070,3109.38,1,2,problem_11_0070,20844.98382,0.928571429,1,problem_11_0071,437.5,1,2,problem_11_0070,2984.38,1,2
problem_11_0071,453.125,1,2,problem_11_0071,437.5,1,2,problem_11_0072,19838.6476,1,1,problem_11_0071,437.5,1,2
problem_11_0072,109.375,1,2,problem_11_0072,19893.27288,1,1,problem_11_0073,23732.3389,1,2,problem_11_0072,109.375,1,2
problem_11_0073,1843.75,1,2,problem_11_0073,22100.76857,0.923076923,1,problem_11_0074,29386.70826,1,2,problem_11_0073,1734.38,1,2
problem_11_0074,2828.12,1,2,problem_11_0074,27026.05081,0.923076923,1,problem_11_0075,60000,0,-1,problem_11_0074,2718.75,1,2
problem_11_0075,60000,0,-1,problem_11_0075,60000,0,-1,problem_11_0076,60000,0,-1,problem_11_0075,60000,0,-1
problem_11_0076,60000,0,-1,problem_11_0076,60000,0,-1,problem_11_0077,36232.13243,1,2,problem_11_0076,60000,0,-1
problem_11_0077,13984.4,1,2,problem_11_0077,24377.2459,0.846153846,1,problem_11_0078,921.875,1,2,problem_11_0077,13562.5,1,2
problem_11_0078,921.875,1,2,problem_11_0078,906.25,1,2,problem_11_0079,28730.93724,1,2,problem_11_0078,906.25,1,2
problem_11_0079,3796.88,1,2,problem_11_0079,3828.12,1,2,problem_11_0080,35927.36741,1,2,problem_11_0079,3671.88,1,2
problem_11_0080,12187.5,1,2,problem_11_0080,25020.06817,0.923076923,1,problem_11_0081,5078.12,1,2,problem_11_0080,12109.4,1,2
problem_11_0081,5093.75,1,2,problem_11_0081,5078.12,1,2,problem_11_0082,21490.5436,1,1,problem_11_0081,5062.5,1,2
problem_11_0082,5671.88,1,2,problem_11_0082,25575.40464,0.833333333,1,problem_11_0083,27557.58905,1,2,problem_11_0082,5546.88,1,2
problem_11_0083,2531.25,1,2,problem_11_0083,24396.33584,0.928571429,1,problem_11_0084,22747.88237,1,2,problem_11_0083,2531.25,1,2
problem_11_0084,468.75,1,2,problem_11_0084,23651.968,0.928571429,1,problem_11_0085,953.125,1,2,problem_11_0084,453.125,1,2
problem_11_0085,906.25,1,2,problem_11_0085,937.5,1,2,problem_11_0086,22682.28817,1,2,problem_11_0085,859.375,1,2
problem_11_0086,109.375,1,2,problem_11_0086,23581.54583,0.857142857,1,problem_11_0087,24992.75517,1,1,problem_11_0086,93.75,1,2
problem_11_0087,60000,0,-1,problem_11_0087,60000,0,-1,problem_11_0088,23427.52194,1,2,problem_11_0087,60000,0,-1
problem_11_0088,765.625,1,2,problem_11_0088,23179.86059,0.923076923,1,problem_11_0089,14405.0529,1,2,problem_11_0088,718.75,1,2
problem_11_0089,15.625,1,2,problem_11_0089,14793.95795,0.846153846,1,problem_11_0090,22570.88327,1,2,problem_11_0089,31.25,1,2
problem_11_0090,2437.5,1,2,problem_11_0090,20995.45479,0.857142857,1,problem_11_0091,44417.45114,1,2,problem_11_0090,2406.25,1,2
problem_11_0091,22203.1,1,2,problem_11_0091,18302.93489,0.75,1,problem_11_0092,20208.20236,1,1,problem_11_0091,21625,1,2
problem_11_0092,3671.88,1,2,problem_11_0092,22474.35594,1,1,problem_11_0093,18003.76916,1,2,problem_11_0092,3640.62,1,2
problem_11_0093,31.25,1,2,problem_11_0093,18806.37169,0.9375,1,problem_11_0094,23708.55665,1,2,problem_11_0093,31.25,1,2
problem_11_0094,328.125,1,2,problem_11_0094,24155.66754,0.923076923,1,problem_11_0095,22738.54303,1,2,problem_11_0094,296.875,1,2
problem_11_0095,125,1,2,problem_11_0095,23756.53982,0.928571429,1,problem_11_0096,17719.09285,1,2,problem_11_0095,109.375,1,2
problem_11_0096,109.375,1,2,problem_11_0096,18978.83964,0.615384615,1,problem_11_0097,22312.26897,1,2,problem_11_0096,109.375,1,2
problem_11_0097,1265.62,1,2,problem_11_0097,23085.95324,0.785714286,1,problem_11_0098,17627.67935,1,2,problem_11_0097,1218.75,1,2
problem_11_0098,31.25,1,2,problem_11_0098,18654.66022,0.9375,1,problem_11_0099,32028.69987,1,2,problem_11_0098,31.25,1,2
problem_11_0099,9734.38,1,2,problem_11_0099,23612.25271,0.923076923,1,problem_11_0100,22469.90895,1,1,problem_11_0099,9437.5,1,2
problem_11_0100,10734.4,1,2,problem_11_0100,23501.72234,1,1,problem_12_0001,49128.50472,1,2,problem_11_0100,11734.4,1,2
problem_12_0001,23578.1,1,2,problem_12_0001,28658.43368,0.923076923,1,problem_12_0002,55000,0.769230769,1,problem_12_0001,23171.9,1,2
problem_12_0002,60000,0,-1,problem_12_0002,28014.98532,0.692307692,1,problem_12_0003,52234.02664,1,2,problem_12_0002,60000,0,-1
problem_12_0003,26531.2,1,2,problem_12_0003,27058.67481,0.857142857,1,problem_12_0004,55000,0.857142857,1,problem_12_0003,25859.4,1,2
problem_12_0004,60000,0,-1,problem_12_0004,25829.22173,0.857142857,1,problem_12_0005,31379.28534,1,2,problem_12_0004,60000,0,-1
problem_12_0005,6843.75,1,2,problem_12_0005,26306.39887,0.857142857,1,problem_12_0006,24074.51057,1,1,problem_12_0005,6718.75,1,2
problem_12_0006,562.5,1,2,problem_12_0006,25085.93535,1,1,problem_12_0007,25506.54291,1,2,problem_12_0006,562.5,1,2
problem_12_0007,1109.38,1,2,problem_12_0007,1140.62,1,2,problem_12_0008,55000,0.928571429,1,problem_12_0007,1109.38,1,2
problem_12_0008,60000,0,-1,problem_12_0008,26840.78193,0.857142857,1,problem_12_0009,28162.9715,1,1,problem_12_0008,60000,0,-1
problem_12_0009,60000,0,-1,problem_12_0009,60000,0,-1,problem_12_0010,20174.08777,1,2,problem_12_0009,60000,0,-1
problem_12_0010,1015.62,1,2,problem_12_0010,27629.68445,0.933333333,1,problem_12_0011,60000,0,-1,problem_12_0010,1015.62,1,2
problem_12_0011,60000,0,-1,problem_12_0011,60000,0,-1,problem_12_0012,24903.29456,1,2,problem_12_0011,60000,0,-1
problem_12_0012,203.125,1,2,problem_12_0012,25113.81555,0.857142857,1,problem_12_0013,16453.1,1,2,problem_12_0012,203.125,1,2
problem_12_0013,16187.5,1,2,problem_12_0013,16140.6,1,2,problem_12_0014,32130.16367,1,2,problem_12_0013,15578.1,1,2
problem_12_0014,9843.75,1,2,problem_12_0014,21106.57287,0.866666667,1,problem_12_0015,23384.81545,1,2,problem_12_0014,9375,1,2
problem_12_0015,125,1,2,problem_12_0015,23639.75978,0.933333333,1,problem_12_0016,60000,0,-1,problem_12_0015,109.375,1,2
problem_12_0016,45734.4,1,2,problem_12_0016,22202.81506,1,1,problem_12_0017,29933.08567,1,2,problem_12_0016,43921.9,1,2
problem_12_0017,1343.75,1,2,problem_12_0017,28043.45441,0.857142857,1,problem_12_0018,55000,0.714285714,1,problem_12_0017,1296.88,1,2
problem_12_0018,60000,0,-1,problem_12_0018,24171.24796,0.857142857,1,problem_12_0019,55000,0.692307692,1,problem_12_0018,60000,0,-1
problem_12_0019,60000,0,-1,problem_12_0019,28298.76709,0.769230769,1,problem_12_0020,59948.00966,1,2,problem_12_0019,60000,0,-1
problem_12_0020,39843.8,1,2,problem_12_0020,21334.75161,0.846153846,1,problem_12_0021,25323.89045,1,2,problem_12_0020,38968.8,1,2
problem_12_0021,1843.75,1,2,problem_12_0021,22554.76117,0.8125,1,problem_12_0022,55000,0.769230769,1,problem_12_0021,1750,1,2
problem_12_0022,60000,0,-1,problem_12_0022,23829.56004,0.692307692,1,problem_12_0023,57002.03936,1,2,problem_12_0022,60000,0,-1
problem_12_0023,32781.2,1,2,problem_12_0023,25546.62848,0.857142857,1,problem_12_0024,55000,0.785714286,1,problem_12_0023,31718.8,1,2
problem_12_0024,60000,0,-1,problem_12_0024,27329.94509,0.857142857,1,problem_12_0025,28467.3326,1,2,problem_12_0024,60000,0,-1
problem_12_0025,4031.25,1,2,problem_12_0025,24636.73234,0.866666667,1,problem_12_0026,25692.16657,1,2,problem_12_0025,3968.75,1,2
problem_12_0026,1312.5,1,2,problem_12_0026,23629.38428,0.928571429,1,problem_12_0027,26358.53433,1,2,problem_12_0026,1328.12,1,2
problem_12_0027,1687.5,1,2,problem_12_0027,1687.5,1,2,problem_12_0028,24975.22998,1,2,problem_12_0027,1609.38,1,2
